c0_f_c2;G3y3;Gy;z0_f_H
-;-;-;-
0.0767441860465116;-0.1709375;-0.5549822790110541;0.4
0.11860465116279;-0.1578125;-0.5403980832362707;0.4
0.148837209302325;-0.14;-0.5192494101851104;0.4
0.304651162790697;-0.0162499999999999;-0.2532898509550438;0.4
0.304651162790697;-0.021875;-0.2796722355203492;0.4
0.325581395348837;-0.0199999999999999;-0.2714417616594902;0.4
0.341860465116279;-0.0162499999999999;-0.2532898509550438;0.4
0.411627906976744;-0.00124999999999997;-0.10772173450159335;0.4
0.430232558139535;-0.00124999999999997;-0.10772173450159335;0.4
0.474418604651162;-0.00124999999999997;-0.10772173450159335;0.4
0.651162790697674;0.0025;0.13572088082974534;0.4
0.681395348837209;0.00718750000000001;0.19298606573404117;0.4
0.790697674418604;0.0465625;0.35975935563644335;0.4
0.790697674418604;0.06625;0.40463361672832276;0.4
0.830232558139534;0.08125;0.4331195526704514;0.4
0.844186046511628;0.0671875;0.4065333329197922;0.4
0.953488372093023;0.150625;0.5320662193562438;0.4
0.974418604651162;0.19;0.5748897078944831;0.4
0.948837209302325;0.20125;0.5860193589336608;0.4
0.969767441860465;0.221875;0.6053912275009551;0.4
0.220930232558139;-0.03125;-0.3149802624737183;0.2
0.234883720930232;-0.0349999999999999;-0.3271066310188587;0.2
0.251162790697674;-0.025625;-0.29481842699851835;0.2
0.253488372093023;-0.0115624999999999;-0.22612604241275625;0.2
0.381395348837209;-0.00124999999999997;-0.10772173450159335;0.2
0.406976744186046;-0.000312499999999993;-0.06786044041487217;0.2
0.458139534883721;-0.000312499999999993;-0.06786044041487217;0.2
0.597674418604651;0.0025;0.13572088082974534;0.2
0.611627906976744;0.00343749999999998;0.15092026841994186;0.2
0.63953488372093;0.00156249999999996;0.11603972084031852;0.2
0.655813953488372;0.00531249999999994;0.17448830117272152;0.2
