experiment;D_cm;D;rhofrac;hr_cm;hr;am_cm;am;as_cm;as;Q_1000;Q;q;Q1_1000;Q1;q1;lam;Fr;Fr_round;G;G_round
-;cm;m;-;cm;m;cm;m;cm;m;10^-3 m3/s;m3/s;m2/s;10^-3 m3/s;m3/s;m2/s;-;-;-;m-1;m-1
85;6.1;0.061;0.00265;8.05;0.0805;6.35;0.0635;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.4052975104534735;0.405;22.682355990613107;22.68
86;6.1;0.061;0.00265;7.2;0.07200000000000001;5.5;0.055;;;1;0.001;0.0014925373134328358;0.2;0.0002;0.00029850746268656717;0.2;0.4791472633233495;0.479;22.682355990613107;22.68
87;6.1;0.061;0.0028;6.5;0.065;4.85;0.048499999999999995;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.5434275387678679;0.543;23.102494811226368;23.1
88;6.1;0.061;0.0027;5.45;0.0545;4.2;0.042;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.7207988052531471;0.721;22.824124396022142;22.82
89;6.1;0.061;0.0027;12.05;0.12050000000000001;9.1;0.091;;;2;0.002;0.0029850746268656717;0;0;0;0;0.438488529261582;0.438;14.378297385983705;14.38
90;6.1;0.061;0.0027;15.75;0.1575;12.65;0.1265;;;3;0.003;0.004477611940298507;0;0;0;0;0.44015863786577697;0.44;10.972694534268598;10.97
91;6.1;0.061;0.0027;14.1;0.141;10.2;0.102;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.5196385919027136;0.52;10.972694534268598;10.97
92;6.1;0.061;0.0027;13.05;0.1305;9.75;0.0975;;;3;0.003;0.004477611940298507;0.6;0.0006;0.0008955223880597014;0.19999999999999998;0.5835986770637417;0.584;10.972694534268598;10.97
93;6.1;0.061;0.0027;10.5;0.105;8.8;0.08800000000000001;;;3;0.003;0.004477611940298507;1.5;0.0015;0.0022388059701492534;0.5;0.808623051487227;0.809;10.972694534268598;10.97
94;6.1;0.061;0.00265;22.7;0.22699999999999998;16.65;0.16649999999999998;;;5;0.005;0.007462686567164179;0;0;0;0;0.4279558576733624;0.428;7.757256631581301;7.76
95;6.1;0.061;0.00245;21.4;0.214;16.2;0.162;;;5;0.005;0.007462686567164179;0;0;0;0;0.4862470681465275;0.486;7.556979245830929;7.56
96;6.1;0.061;0.0024;19.85;0.1985;13.55;0.1355;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5499387351243128;0.55;7.505217489532062;7.51
97;6.1;0.061;0.00225;18.95;0.1895;12.85;0.1285;;;5;0.005;0.007462686567164179;1;0.001;0.0014925373134328358;0.2;0.6089135205922136;0.609;7.34548327242592;7.35
98;6.1;0.061;0.00195;16.85;0.1685;13.45;0.13449999999999998;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.7800878871974961;0.78;7.003327003504591;7
99;6.1;0.061;0.0015;15.75;0.1575;9.5;0.095;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.9842246351515903;0.984;6.416870690838547;6.42
100;6.1;0.061;0.019;7.05;0.0705;6.7;0.067;;;1;0.001;0.0014925373134328358;0;0;0;0;0.18468440205233244;0.185;43.737847356588375;43.74
101;6.1;0.061;0.0195;6.35;0.0635;6.1;0.061;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.21326166717721054;0.213;44.11819555506309;44.12
