experiment;rhofrac;lam;Fr;Q1;q1;Q2;q2;q;level interface inlet;level interface screen;hr/H;H;hr;D
-;-;-;-;L/s;m2/s;L/s;m2/s;m2/s;mmNAP;mmNAP;-;m;m;m
100A;0.015863631884914794;0.24;0.15;2.3;0.0011528822055137844;7.6;0.0038095238095238095;0.0049624060150375935;-374.3;-389.9;0.32;0.5733823529411765;0.18348235294117646;0.175
300C;0.015863631884914794;0.03;0.29;1;0.0005012531328320802;28.6;0.014335839598997493;0.014837092731829574;-315.6;-323.3;0.44;0.5773214285714285;0.25402142857142856;0.175
300D;0.015863631884914794;0.1;0.42;3;0.0015037593984962405;26.6;0.013333333333333334;0.014837092731829574;-356;-376.6;0.35;0.5793846153846154;0.20278461538461537;0.175
300F;0.015863631884914794;0.24;0.37;7;0.0035087719298245615;22.6;0.011328320802005012;0.014837092731829574;-334.4;-358.1;0.38;0.5775806451612904;0.21948064516129034;0.175
