experiment;rhofrac;hr_inch;hr;qdqc;qc;q;lam;Fr;D_inch;D
-;-;inch;m;-;m2/s;m2/s;-;-;inch;m
11-1;0.0031;2.04;0.051816;0.41;0.0011196293849051419;0.00045904804781110814;0.01;0.22317573212024508;1.5;0.038099999999999995
11-2;0.0031;2.18;0.055372000000000005;0.61;0.001236840726981953;0.0007544728434589913;0.01;0.3320419429106085;1.5;0.038099999999999995
11-3;0.0031;2.55;0.06477;0.66;0.001564729633908859;0.001032721558379847;0.01;0.3592584956081995;1.5;0.038099999999999995
11-4;0.003;2.87;0.072898;0.79;0.0018379414086898925;0.0014519737128650151;0.01;0.4300215326219357;1.5;0.038099999999999995
11-5;0.003;3.22;0.081788;0.82;0.002184201117367172;0.0017910449162410812;0.01;0.4463514642404902;1.5;0.038099999999999995
11-6;0.003;3.93;0.099822;0.82;0.0029450837061389887;0.0024149686390339707;0.01;0.4463514642404902;1.5;0.038099999999999995
11-7;0.0029;4.86;0.123444;0.85;0.003982003091641139;0.0033847026278949676;0.01;0.4626813958590447;1.5;0.038099999999999995
11-8;0.0029;6.15;0.15621000000000002;0.83;0.005668391820143423;0.004704765210719041;0.01;0.4517947747800084;1.5;0.038099999999999995
12-1;0.0029;2.75;0.06985;0.73;0.0016949083908826257;0.0012372831253443168;0.01;0.39736166938482664;1.5;0.038099999999999995
12-2;0.0029;3.6;0.09144;0.78;0.002538638956127173;0.001980138385779195;0.01;0.42457822208241747;1.5;0.038099999999999995
12-3;0.0029;4.51;0.11455399999999999;0.81;0.0035596885513075427;0.00288334772655911;0.01;0.440908153700972;1.5;0.038099999999999995
12-4;0.0028;5.68;0.14427199999999998;0.82;0.004943672689437802;0.004053811605338997;0.01;0.4463514642404901;1.5;0.038099999999999995
12-5;0.0027;7.7;0.19558;0.77;0.0076624236452020175;0.005900066206805553;0.01;0.41913491154289934;1.5;0.038099999999999995
12-6;0.0023;1.88;0.047751999999999996;0.44;0.0008531961399581083;0.00037540630158156767;0.01;0.23950566373879964;1.5;0.038099999999999995
12-7;0.0023;2.28;0.05791199999999999;0.7;0.0011395001286432472;0.000797650090050273;0.01;0.3810317377662721;1.5;0.038099999999999995
